PC1,PC2,Total_Nitrogen,Total_Carbon,Acidified_Nitrogen,Acidified_Carbon
-1.1814334829409687,6.8989305480021805,0.171139762,2.574092627,0.172553584,2.470880747
-1.9018782329835608,4.970854361425571,0.18889679,2.893061638,0.199011356,2.889453173
-1.205838664783284,5.53004219239503,NA,NA,0.250606626,NA
-6.399166796242851,4.0017055636174055,NA,NA,0.097579718,1.412020683
-4.687082465152792,2.7321560387479815,0.120528527,1.646522522,0.092609555,1.404249668
-3.509431132472722,4.213696093292655,0.125641525,1.829398394,0.134117529,1.810268641
-3.3562781223476694,3.030641272103073,NA,NA,0.095683664,1.347184539
-3.9355364632215153,0.8291418761594573,0.102908924,1.4348270890000001,0.076476924,1.202057004
-3.69939976197047,-2.095941408567054,0.100778222,1.231909513,0.08044678,1.221909513
-3.8121089125277354,0.7289661951836108,0.102578819,1.472760558,0.086458221,1.253631353
-2.7767776134320212,1.9606179934653765,0.092423655,1.347708225,0.085595079,1.269094825
1.6014048945194534,0.7274081711054123,0.117764816,1.722048521,0.074721612,1.13975811
-1.2568013582497632,1.2751866286721703,0.096006013,1.291327596,0.090704821,1.266244888
-3.4752829989862377,5.301502755550896,0.159842819,2.230710506,0.14396055,2.098879576
-7.18383961855675,1.9716209457700646,0.104126662,1.624423981,0.090806939,1.477530718
-5.815731484454446,1.2683603962415126,0.145152122,2.162661076,0.138389751,2.136912346
-2.7935424755407974,1.7844668550357845,0.118040077,1.733623147,0.110091366,1.721279502
-3.7481239389078485,2.634458760996423,0.138096094,1.981639147,0.123595394,1.804312348
-2.1168132616879216,4.9898026663877495,0.122095682,1.765562057,0.111963928,1.71018672
-1.555068512810013,4.2498813317941595,0.096947156,1.488628268,0.088898323,1.378463745
-4.036645883296325,2.1825356652139964,0.094915196,1.424246192,0.088942677,1.418931603
-2.906348925539906,7.201960806916238,0.132769451,1.839755893,0.116717704,1.64680016
-6.877380696858995,0.6691287511304186,0.104899891,1.640719175,0.095890366,1.577715755
-7.355747690338839,-0.742253617283393,NA,NA,0.183037654,NA
-5.477596056058193,-2.8288175179264834,0.055388153,0.654539883,0.054795451,0.585231841
0.7248155991519498,4.980180728541085,0.061588813,0.730902076,0.058682945,0.700902076
-5.571760179209641,-1.2303324731837921,0.082111977,1.177473426,0.084729351,1.166803956
9.298953330400446,-0.9808826247212283,0.067189135,0.871369004,0.065772682,0.818007052
4.304060888458885,1.2294566679968961,0.062362071,0.888713181,0.064589292,0.87793076
-0.8808917136905713,2.0532435218400105,0.107004814,1.514667273,0.101870224,1.457040429
